Timestamp (s),X-Position (%),Y-Position (%)
381556,33,26
381726,35,25
381856,34,26
382296,34,26
382396,32,26
382496,31,25
383460,30,26
383660,30,26
383824,29,26
383997,29,26
384427,30,26
384796,30,25
384993,30,26
385228,29,25
385765,29,26
386526,31,26
386860,29,26
387226,32,26
387365,32,25
387630,33,32
388030,37,37
389365,35,32
389465,36,33
389565,38,33
389765,31,28
389830,33,30
390065,33,31
391394,34,33
391524,34,32
391659,34,30
391764,35,31
391864,36,32
392064,36,33
392460,37,35
392594,38,38
392794,38,37
393299,37,38
393464,35,32
393529,34,31
393598,34,31
394098,35,30
394193,34,31
394228,34,33
394299,34,33
394493,36,33
394794,33,32
394960,33,31
395129,33,30
395294,34,33
395389,34,34
395525,34,32
395625,33,30
396094,34,31
396164,34,32
396229,34,33
396388,34,32
396459,35,32
396624,35,31
396729,36,32
396830,35,34
396863,35,34
397128,35,32
397228,36,33
397328,36,31
397389,35,31
397828,36,33
397928,36,33
398063,36,32
398188,37,33
398228,36,33
398363,35,31
398958,34,31
399193,34,31
399263,34,32
399327,34,32
399363,34,33
399627,36,34
399727,36,33
399793,35,32
399857,34,32
400027,34,31
400192,34,30
400262,34,30
401457,33,31
401522,33,32
401622,33,33
402122,33,32
402122,33,31
402387,34,34
402482,34,33
402621,33,32
402752,33,31
402857,32,29
402922,32,29
403351,37,31
403416,36,32
403486,38,33
403516,39,34
403756,39,33
403856,39,32
403916,39,31
403981,38,30
404186,32,29
404216,30,29
405116,39,31
405221,39,31
405386,42,33
405580,41,32
405656,45,33
405851,39,39
405916,39,40
405986,39,41
406120,41,38
406220,41,39
406421,41,39
407115,37,37
407280,37,37
407385,36,41
409114,36,37
409254,36,40
409779,38,38
411154,35,34
411854,35,38
412083,36,34
412353,33,33
412613,33,33
412818,33,32
412953,33,31
413353,38,45
413553,20,44
413978,32,32
414113,32,33
414153,32,34
414177,32,33
414483,34,32
414717,34,31
414882,33,29
415112,33,34
415183,33,35
415217,33,37
415277,33,39
415447,35,33
415617,36,34
415817,35,32
415912,34,31
416217,34,28
416512,36,31
416682,36,34
416852,34,32
417317,36,27
417452,36,28
417717,36,34
417777,35,32
417846,35,32
418081,35,43
418216,32,46
418451,45,37
418616,35,35
418676,37,35
418851,36,33
418951,37,32
419016,34,31
419076,34,30
419316,38,32
419416,38,32
419611,38,31
420151,37,37
420215,37,39
420611,41,45
420850,34,33
420911,33,32
420981,33,31
421180,35,32
421315,36,33
421615,37,31
421680,35,32
421750,36,33
421775,36,33
421915,38,32
423250,33,32
423410,38,38
423445,38,38
423509,38,38
423749,35,32
423814,35,33
423849,34,33
423880,33,34
424309,36,33
424644,34,31
424774,34,31
424809,34,32
424879,34,32
425044,35,32
425174,36,33
425244,36,34
425314,36,35
425614,35,31
425679,36,31
425714,36,33
425779,36,34
425844,36,35
426014,36,32
427348,33,31
427443,33,32
427513,33,33
427578,34,34
427614,34,35
427648,34,36
428113,35,39
428678,35,33
428778,35,34
428778,35,35
428778,35,36
429248,34,42
429608,32,33
429643,33,33
429713,35,34
429947,35,31
430012,34,32
430048,34,33
430077,35,33
430242,36,37
430577,36,36
430712,34,34
430943,35,34
431072,35,34
431207,35,32
431277,34,32
431342,34,31
431377,34,31
432411,32,28
432677,33,31
432711,34,32
432777,35,32
432846,35,33
432876,34,34
433206,35,31
433276,36,32
433611,36,32
434111,34,34
434211,36,38
434241,36,38
434506,35,34
434771,36,33
434876,33,32
434941,32,31
434975,32,31
435141,33,31
435211,33,32
435270,35,33
435905,38,39
436010,35,35
436111,33,33
436145,33,32
436275,33,31
436775,36,34
436845,36,35
436945,35,32
437010,34,31
437040,34,31
437205,36,33
437275,36,34
437310,37,36
437970,36,36
438045,34,34
438075,34,34
438140,33,32
438210,33,31
438269,34,31
438545,35,31
438609,34,33
438674,35,33
438710,35,35
438774,36,38
438869,35,39
439004,41,37
439209,40,38
439444,36,34
439509,35,33
439539,35,32
439604,35,31
439644,35,31
439909,36,32
439974,37,33
440209,37,35
440474,37,33
440644,36,32
441544,34,31
441608,34,32
442108,36,34
442173,39,37
442408,25,44
442708,37,34
442773,37,34
442938,37,33
443073,37,33
443208,36,32
443308,36,31
443368,36,30
443643,38,42
443773,39,43
445167,35,35
445402,35,35
446102,35,34
447571,36,37
449241,37,35
449571,36,35
449806,39,36
450040,38,35
450266,41,35
451240,36,33
451640,34,32
451705,34,31
451765,34,30
452540,36,34
454864,38,41
455264,40,42
456504,36,36
456663,39,43
456898,39,45
459797,38,40
461167,35,34
462361,33,29
464700,39,42
469418,38,40
469712,38,41
471585,39,43
471689,39,40
471750,39,39
472054,39,39
472154,38,40
472219,37,42
473852,40,41
474012,39,40
474352,40,42
476316,32,30
476381,33,31
476551,34,32
476716,34,34
477350,36,33
478981,35,33
479218,35,32
479513,34,31
479917,33,30
480782,40,46
480917,42,44
482078,31,32
482178,32,32
482478,34,32
482542,36,31
482882,38,38
483374,40,41
483614,35,32
483638,35,31
483713,35,31
483809,34,32
483839,34,34
483914,34,34
484143,37,38
484443,34,32
484478,34,33
484544,35,34
485408,44,44
485914,39,39
486049,40,38
486179,32,31
486250,33,30
486310,33,30
486409,33,34
487174,35,33
487174,35,34
487353,34,31
487522,36,36
487617,35,34
487864,35,32
487928,34,33
488098,36,34
487912,35,37
488812,38,38
488982,33,32
489081,34,31
489212,35,31
489316,35,32
489352,35,33
489416,34,34
489651,36,31
489676,36,32
489716,35,34
489781,34,34
489881,34,35
490842,37,32
490912,35,32
490947,35,34
491047,34,35
491247,38,39
491282,39,40
491777,40,41
492276,39,42
492911,39,41
492281,34,31
492941,34,33
493081,34,31
493176,34,32
493547,34,34
494110,36,36
494245,38,39
494380,38,38
494749,34,32
494977,35,32
495315,35,34
495444,37,33
495609,35,32
495875,36,30
496375,35,34
496475,35,33
496644,35,32
496814,33,31
497079,34,34
497174,37,33
497583,36,32
497843,36,32
498542,35,33
498612,37,34
498707,36,35
498783,36,36
498907,38,38
499007,39,37
499242,38,33
499342,37,31
499408,36,31
499507,35,32
500210,35,32
500716,36,37
500750,36,35
500850,36,33
500950,34,32
501010,31,31
501210,37,30
501578,35,31
501640,35,32
501716,35,33
501840,37,33
502075,37,35
502216,38,34
502482,36,32
502843,33,31
503046,34,31
503176,36,32
503241,36,33
503316,36,34
503675,36,33
503810,36,34
503914,35,32
503974,34,31
504174,35,31
504781,35,31
504906,37,31
504945,35,32
505044,35,33
505109,33,35
505339,31,34
505882,34,32
506442,34,32
506745,33,31
506715,35,34
506880,35,34
507045,35,31
507575,34,33
507645,34,33
507715,35,33
507973,35,34
508448,35,33
508642,35,32
508842,34,31
509106,35,32
509476,36,35
509541,35,34
509676,36,32
509741,35,32
509845,36,31
509876,38,32
510174,37,39
510174,39,40
511075,34,32
511180,35,33
511341,36,34
511744,37,34
511813,37,34
511978,32,31
512012,32,31
512545,35,33
512814,33,31
512915,33,31
513279,35,32
513345,35,32
513374,35,33
513510,36,34
513775,40,34
513944,38,33
514039,34,32
514144,34,31
514239,35,30
515007,35,33
515214,35,32
515374,34,31
515679,36,30
515814,36,32
515939,36,33
516108,36,34
516243,37,35
517540,36,34
517839,36,32
518038,35,32
518106,34,30
518807,36,33
518937,36,34
519143,36,33
519342,37,37
519472,37,36
519542,38,38
519871,36,32
520509,35,34
520779,37,34
520978,36,32
521079,37,33
521213,36,31
521314,35,30
521513,36,33
522143,36,33
523471,36,35
523540,35,33
523647,35,33
523873,32,31
524544,34,31
524644,35,33
524838,34,32
524938,34,32
525875,34,31
525972,34,32
526112,34,34
526172,34,34
527543,35,33
527643,34,32
527709,32,32
527778,32,32
529007,31,29
529237,32,31
530308,32,31
530372,33,32
530442,34,34
530742,34,31
530873,34,31
532371,33,31
532511,34,35
532571,34,33
532636,34,33
532811,34,31
533071,35,33
533206,36,33
533271,37,34
533904,34,30
533973,34,31
534277,35,31
534436,35,32
534471,35,33
534536,35,33
534576,35,34
534811,35,35
535377,34,32
